pais_bloco,fk_pais,fk_calendario,populacao,id_energia
LTU,27,14,3514205.0,572
LUX,28,14,365998.0,573
LVA,26,14,2562047.0,574
MAR,30,14,21817271.0,575
MEX,29,14,73489654.0,576
NLD,31,14,14424211.0,577
NOR,33,14,4140099.0,578
NZL,32,14,3227100.0,579
POL,34,14,36904134.0,580
PRT,35,14,9996232.0,581
SGP,36,14,2732221.0,582
SVK,37,14,5127097.0,583
SVN,38,14,1932154.0,584
SWE,41,14,8336605.0,585
THA,43,14,49636724.0,586
USA,46,14,235825000.0,587
ZAF,39,14,32768207.0,588
AUS,2,15,15788312.0,589
AUT,3,15,7564985.0,590
BEL,4,15,9858308.0,591
BRA,5,15,136783180.0,592
CAN,6,15,25842116.0,593
CHE,42,15,6470365.0,594
CHL,7,15,12326396.0,595
CHN,8,15,1051040000.0,596
COL,9,15,29326260.0,597
DEU,15,15,77684873.0,598
DNK,11,15,5113691.0,599
ESP,40,15,38469512.0,600
EST,12,15,1528781.0,601
FIN,13,15,4902206.0,602
FRA,14,15,56569195.0,603
GBR,45,15,56550268.0,604
GRC,16,15,9934300.0,605
HUN,17,15,10648713.0,606
IDN,20,15,165791694.0,607
IND,19,15,780242084.0,608
IRL,21,15,3538082.0,609
ISL,18,15,241405.0,610
ISR,22,15,4233000.0,611
ITA,23,15,56593071.0,612
JPN,24,15,120837000.0,613
LTU,27,15,3544543.0,614
LUX,28,15,366706.0,615
LVA,26,15,2578873.0,616
MAR,30,15,22335077.0,617
MEX,29,15,74872006.0,618
NLD,31,15,14491632.0,619
NOR,33,15,4152516.0,620
NZL,32,15,3247100.0,621
POL,34,15,37201885.0,622
PRT,35,15,10023613.0,623
SGP,36,15,2735957.0,624
SVK,37,15,5161768.0,625
SVN,38,15,1941641.0,626
SWE,41,15,8350386.0,627
THA,43,15,50594940.0,628
USA,46,15,237924000.0,629
ZAF,39,15,33752964.0,630
AUS,2,16,16018350.0,631
AUT,3,16,7569794.0,632
BEL,4,16,9861823.0,633
BRA,5,16,139643355.0,634
CAN,6,16,26100278.0,635
CHE,42,16,6504124.0,636
CHL,7,16,12514502.0,637
